"staSeq","locationName","ylat","xlong"
16731,"HAWLEYS BROOK",41.2458,-73.3439
17105,"TATETUCK BROOK",41.28305,-73.28194
16816,"Millstone Brook",41.3219,-72.1572
16897,"NECK RIVER",41.3231,-72.6461
15016,"Titicus River",41.3304,-73.5292
16772,"INDIAN RIVER",41.3311,-72.5522
16478,"ASPETUCK RIVER",41.3453,-73.3389
16597,"CROOKED BROOK",41.3717,-72.7656
16930,"Oil Mill Brook",41.375558,-72.190655
14184,"East Swamp Brook",41.3859,-73.3984
14186,"Eightmile Brook",41.3885,-73.1648
16718,"HALFWAY RIVER",41.3886,-73.1936
16702,"Great Brook",41.3906,-72.0397
16909,"Hammonasset River, Unnamed tributary to (""Pond Meadow Brook"")",41.4075,-72.6042
16750,"HOPP BROOK",41.4097,-73.0367
15577,"Kettletown Brook",41.427,-73.206
17122,"TOWANTIC BROOK",41.4408,-73.1044
16560,"CAVANAUGH BROOK",41.4436,-73.3039
16783,"JEREMY BROOK",41.4528,-73.1717
15818,"WILLOW BROOK",41.4597,-72.9183
18126,"BEACON HILL BROOK",41.46639,-73.03944
15179,"Eightmile River",41.4671,-72.3372
16298,"Stony Brook",41.4716,-72.1182
17210,"Wyassup Brook",41.4719,-71.8586
15796,"PENDLETON HILL BROOK",41.4748,-71.8342
16297,"Stony Brook",41.489,-72.1318
14731,"Trading Cove Brook",41.5021,-72.1235
17133,"TRANSYLVANIA BROOK, tributary to",41.5069,-73.27
16668,"Ford Brook",41.5072,-72.1114
17134,"TRANSYLVANIA BROOK, tributary to",41.5142,-73.2553
14413,"Quinnipiac River",41.528244,-72.856272
16852,"Miller Brook",41.5292,-71.9328
16748,"HOP BROOK",41.5303,-73.1028
16607,"Deep River",41.5325,-72.2728
16817,"LONG SWAMP BROOK",41.5389,-73.0978
14130,"Beaver Pond Brook",41.5393,-73.0077
16506,"BIGELOW BROOK",41.5489,-72.4467
16572,"Choate Brook",41.5522,-72.0136
14355,"Nonewaug River",41.5575,-73.2122
16879,"Muddy Gutter Brook",41.5642,-72.5119
16656,"FENN BROOK",41.5669,-73.3255
16807,"Lisbon Brook",41.5694,-72.0097
16808,"Lisbon Brook,Tributary to",41.571025,-72.010914
14605,"Eightmile River",41.5908,-72.9009
16556,"CARR BROOK",41.6022,-72.5772
14718,"Mount Misery Brook",41.603,-71.868
17135,"WALKER BROOK, tributary to",41.614343,-73.355702
15128,"Kirby Brook",41.6173,-73.3227
16535,"BUCK BROOK",41.6228,-72.558
16916,"NONEWAUG RIVER, tributary to",41.6258,-73.1664
17206,"WOMENSHENUCK BROOK",41.646271,-73.479476
16797,"Lathrop Brook",41.6603,-71.8858
16610,"DENMAN BROOK",41.6631,-73.43
16517,"BLACKLEDGE RIVER",41.6678,-72.4611
17142,"EAST ASPETUCK RIVER, tributary to",41.6689,-73.3625
14402,"Poland River",41.6912,-73.0045
16762,"HUMASTON BROOK (Northfield Brook)",41.6972,-73.1017
17112,"TENMILE RIVER, tributary to",41.6978,-72.2372
15887,"Shepaug River",41.7019,-73.2904
16795,"LAKE WARAMAUG BROOK (""Sucker Brook"")",41.7069,-73.3456
14888,"Ekonk Brook",41.7109,-71.8778
17162,"WEST ASPETUCK RIVER, tributary to",41.7153,-73.3906
17006,"ROARING BROOK",41.7153,-72.5061
17141,"COBBLE BROOK, tributary to",41.717015,-73.448011
16898,"Freeman Hill Brook (Formerly NEGRO HILL BROOK)",41.7253,-72.9497
17151,"LAKE WARAMAUG BROOK, tributary to",41.7383,-73.3369
15035,"Spruce Brook",41.7472,-73.115
15062,"Jefferson Hill Brook",41.7477,-73.1195
16985,"QUANDOCK BROOK",41.7633,-71.9003
16548,"BUTTONBALL BROOK",41.7694,-72.1275
16821,"MACEDONIA BROOK",41.7753,-73.4947
17157,"ROCK BROOK, tributary to",41.7764,-73.0228
16962,"PHELPS BROOK",41.799811,-72.964813
16857,"MOHAWK POND OUTFLOW",41.8017,-73.2886
16623,"EAST BRANCH LEADMINE BROOK",41.8056,-73.0639
16697,"GOODWIN BROOK",41.8225,-72.0978
16778,"IVY MOUNTAIN BROOK",41.827,-73.205
16995,"Railroad Brook",41.827722,-72.448279
16630,"EAST BRANCH SHEPAUG RIVER",41.8336,-73.2803
17121,"TORRINGFORD BROOK",41.8345,-73.0408
15988,"Bebbington Brook",41.8447,-72.1593
16705,"GREEN BROOK",41.86,-72.3114
17145,"EAST BR. NAUGATUCK RIVER, tributary to",41.8708,-73.1217
14238,"Hockanum River",41.8758,-72.4743
14627,"Webetuck Creek",41.8848,-73.4937
16126,"Hall Meadow Brook",41.8861,-73.1689
16933,"OWENS BROOK",41.8878,-72.8039
16601,"CURTIS BROOK",41.8878,-72.2333
16674,"FOX BROOK",41.8892,-73.1369
14141,"Bonemill Brook",41.9249,-72.3162
16469,"ABORN BROOK",41.9308,-72.3675
16116,"Kettle Brook",41.9324,-72.9442
16114,"Rugg Brook",41.9328,-73.1214
16451,"Mill Brook",41.9375,-71.9595
16450,"Blackmore Brook",41.95,-71.8136
15680,"Beaver Brook",41.9513,-72.9958
17172,"WANGUM LAKE BROOK",41.9528,-73.2792
15703,"West Branch Salmon Brook",41.9592,-72.8469
16467,"ABBEY BROOK",41.9703,-72.4708
16861,"MOOSEHORN BROOK",41.97486,-72.872207
16713,"GULF STREAM",41.9792,-72.4219
16699,"GRAVELLY BROOK",41.9839,-71.9939
16900,"NEW CITY BROOK",41.9994,-72.2444
16533,"BROWNS BROOK, Tributary to",42.0081,-72.1733
14863,"Rocky Brook",42.0134,-71.802
16831,"MAY BROOK",42.0269,-72.1789
15505,"Sages Ravine Brook",42.0497,-73.4245
